Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egz
Vardas1 Pavarde1 5 10 1 7 10 5
Vardas2 Pavarde2 10 7 10 6 3 1
Vardas3 Pavarde3 7 4 2 2 4 7
Vardas4 Pavarde4 10 10 2 5 1 3
Vardas5 Pavarde5 1 9 10 7 2 8
Vardas6 Pavarde6 10 2 1 9 2 3
Vardas7 Pavarde7 10 4 4 4 6 8
Vardas8 Pavarde8 3 3 8 9 1 4
Vardas9 Pavarde9 7 8 6 5 9 1
Vardas10 Pavarde10 1 6 10 3 8 7
Vardas11 Pavarde11 9 8 9 5 8 7
Vardas12 Pavarde12 4 9 10 9 1 10
Vardas13 Pavarde13 4 4 1 5 2 2
Vardas14 Pavarde14 5 8 9 9 3 1
Vardas15 Pavarde15 9 4 1 7 5 3
Vardas16 Pavarde16 8 6 3 6 6 4
Vardas17 Pavarde17 1 7 3 10 8 9
Vardas18 Pavarde18 4 2 2 10 9 3
Vardas19 Pavarde19 1 2 2 9 7 8
Vardas20 Pavarde20 1 9 3 4 8 9
Vardas21 Pavarde21 9 2 10 4 1 10
Vardas22 Pavarde22 6 8 5 1 9 1
Vardas23 Pavarde23 10 4 9 7 7 9
Vardas24 Pavarde24 6 8 8 1 2 4
Vardas25 Pavarde25 9 9 8 8 8 7
Vardas26 Pavarde26 8 6 2 2 5 10
Vardas27 Pavarde27 1 5 10 2 1 7
Vardas28 Pavarde28 8 5 1 9 10 10
Vardas29 Pavarde29 3 5 8 5 10 9
Vardas30 Pavarde30 5 8 6 6 1 7
Vardas31 Pavarde31 1 1 10 1 5 6
Vardas32 Pavarde32 7 8 6 8 1 5
Vardas33 Pavarde33 8 10 10 10 10 8
Vardas34 Pavarde34 8 6 4 7 1 2
Vardas35 Pavarde35 2 6 7 2 10 5
Vardas36 Pavarde36 8 1 2 6 4 3
Vardas37 Pavarde37 1 3 6 7 1 5
Vardas38 Pavarde38 5 4 2 8 1 9
Vardas39 Pavarde39 1 9 3 6 9 8
Vardas40 Pavarde40 4 1 10 6 3 6
Vardas41 Pavarde41 4 2 9 7 3 6
Vardas42 Pavarde42 8 4 6 9 7 9
Vardas43 Pavarde43 6 6 6 2 9 4
Vardas44 Pavarde44 1 8 9 5 8 5
Vardas45 Pavarde45 7 2 5 3 4 3
Vardas46 Pavarde46 10 5 7 8 3 4
Vardas47 Pavarde47 5 3 3 2 3 2
Vardas48 Pavarde48 1 9 8 10 5 4
Vardas49 Pavarde49 2 10 10 7 1 9
Vardas50 Pavarde50 5 2 2 5 9 2
Vardas51 Pavarde51 5 9 6 4 4 1
Vardas52 Pavarde52 10 1 3 1 7 9
Vardas53 Pavarde53 9 7 2 10 4 8
Vardas54 Pavarde54 1 4 10 9 8 5
Vardas55 Pavarde55 5 3 4 9 1 2
Vardas56 Pavarde56 10 1 2 10 7 10
Vardas57 Pavarde57 1 3 6 5 10 10
Vardas58 Pavarde58 2 5 4 7 2 6
Vardas59 Pavarde59 8 6 7 3 3 5
Vardas60 Pavarde60 1 7 7 6 2 5
Vardas61 Pavarde61 2 6 10 10 5 7
Vardas62 Pavarde62 2 6 8 6 6 8
Vardas63 Pavarde63 3 7 3 5 1 6
Vardas64 Pavarde64 8 4 1 7 8 1
Vardas65 Pavarde65 6 4 4 4 4 4
Vardas66 Pavarde66 7 9 8 5 2 1
Vardas67 Pavarde67 5 8 9 7 9 8
Vardas68 Pavarde68 5 1 6 10 7 9
Vardas69 Pavarde69 7 3 2 6 4 7
Vardas70 Pavarde70 1 1 4 7 4 1
Vardas71 Pavarde71 3 3 7 6 2 8
Vardas72 Pavarde72 6 6 5 7 6 2
Vardas73 Pavarde73 6 3 9 5 1 10
Vardas74 Pavarde74 3 6 10 8 8 3
Vardas75 Pavarde75 3 4 3 1 9 1
Vardas76 Pavarde76 5 2 7 9 2 7
Vardas77 Pavarde77 2 5 8 9 9 4
Vardas78 Pavarde78 2 9 1 1 4 9
Vardas79 Pavarde79 1 4 3 4 8 5
Vardas80 Pavarde80 2 1 2 8 5 10
Vardas81 Pavarde81 8 10 5 1 1 10
Vardas82 Pavarde82 9 4 9 8 1 1
Vardas83 Pavarde83 10 1 7 1 3 1
Vardas84 Pavarde84 6 4 3 3 3 1
Vardas85 Pavarde85 10 10 7 9 6 1
Vardas86 Pavarde86 2 5 2 5 7 6
Vardas87 Pavarde87 1 8 9 6 4 7
Vardas88 Pavarde88 3 7 7 6 6 3
Vardas89 Pavarde89 7 3 3 5 5 4
Vardas90 Pavarde90 3 4 1 9 10 2
Vardas91 Pavarde91 6 5 4 6 3 10
Vardas92 Pavarde92 1 10 7 3 10 1
Vardas93 Pavarde93 8 2 6 6 8 9
Vardas94 Pavarde94 5 10 6 9 10 1
Vardas95 Pavarde95 7 5 9 10 2 10
Vardas96 Pavarde96 8 5 1 4 1 2
Vardas97 Pavarde97 5 10 1 6 4 1
Vardas98 Pavarde98 2 6 3 7 1 8
Vardas99 Pavarde99 4 9 8 3 4 6
Vardas100 Pavarde100 4 8 8 5 8 5
Vardas101 Pavarde101 1 3 4 5 5 5
Vardas102 Pavarde102 1 3 9 7 8 5
Vardas103 Pavarde103 5 4 6 3 5 9
